Borough,Site Name,Site Address,Postcode,Type of Site,Grid ref easting,Grid ref northing,Open to Public,Opening times,Site Ref
Ealing,Drayton Green,"Drayton Green, West Ealing",W13 0DU,Public Open Land,516202,180926,Yes,unrestricted,EAL013
Ealing,Ealing Common,"Uxbridge Road/The Common/Grange Road/Warwick Road/Gunnersbury Avenue, Ealing",W5,Public Park,518480,180370,Yes,unrestricted,EAL014
Ealing,Ealing Green,St Mary's Road,W5 5ES,Public Open Land,517650,180360,Yes,unrestricted,EAL015
Ealing,Elthorne Park and Elthorne Waterside,"Boston Road, Hanwell",W7,Public Park,515842,179370,Yes,unrestricted,EAL016
Ealing,Goldsmiths' Almshouses,"East Churchfield Road, Acton",W3,Private Garden,520845,180405,No,private (visible from East Churchfield Road),EAL017
Ealing,Greenford Park Cemetery,"Windmill Lane, Greenford",UB6 9DU,Cemetery,513994,181649,Yes,"8am - weekdays, 9am weekends. Closing: 4.30pm Nov-Feb; 5.30pm Mar, Oct; 7pm Sept, Apr; 8pm May-Aug.",EAL018
Ealing,Hanger Hill Garden Estate,"between Queens Drive, Vale Lane, Princes Gardens, Tudor Gardens, Links Road",W3,Housing/Estate Landscaping,519210,181470,Partially,private but gardens visible from roads,EAL020
Ealing,"Hanger Hill Park, including Fox Wood","Hanger Lane/Fox Lane/Hillcrest Road, Hanger Hill",W5,Public Park,518343,182167,Yes,unrestricted,EAL021
Ealing,Hanwell Cemetery *,"38 Uxbridge Road, Ealing",W7 3PP,Cemetery,515920,180038,Yes,"Mon-Fri 8.30am - 4.30pm (Nov-Feb), 6pm (Mar-Oct); Sat/Sun/BH: 11am - 4pm (Nov-Feb), - 6pm (Mar-Oct)",EAL022
Ealing,Havelock Cemetery,"Havelock Road/Church Avenue, Southall",UB2,Cemetery,512575,179275,Yes,"8am - weekdays, 9am weekends. Closing: 4.30pm Nov-Feb; 5.30pm Mar, Oct; 7pm Sept, Apr; 8pm May-Aug.",EAL023
Ealing,Haven Green,"Haven Green, Ealing Broadway",W5,Public Open Land,517818,180979,Yes,unrestricted,EAL024
Ealing,"Holy Cross Churchyard, Greenford","Oldfield Lane South/Ferrymead Gardens, Greenford",UB6 9JS,Churchyard,514510,183150,Yes,unrestricted,EAL025
Ealing,Hortus Cemetery,"Merrick Road, Southall",UB2 4BW,Cemetery,512800,179500,Yes,"8am - weekdays, 9am weekends. Closing: 4.30pm Nov-Feb; 5.30pm Mar, Oct; 7pm Sep, Apr; 8pm May-Aug.",EAL026
Ealing,Islip Manor Park,"Eastcote Lane/Mandeville Road/Islip Manor Road/Alderney Gardens, Northolt",UB5,Public Park,512715,184391,Yes,7.30am - dusk,EAL027
Ealing,Jubilee Park,"Jubilee Gardens/Somerset Road, Southall",UB1,Public Park,513390,181640,Yes,7.30am - dusk,EAL028
Ealing,Kensington Hanwell Cemetery *,"31 Uxbridge Road, Hanwell",W7 3PX,Cemetery,515871,180481,Yes,"Jan, Nov, Dec 9am-4.30pm; Feb, Mar, Oct 9am-5.30pm; Apr, May, Sept Mon-Sat 9am-7pm, Sun 9am-6pm; Jun, Jul, Aug Mon-Sat 9am-8pm, Sun 9am-7pm",EAL029
Ealing,King George V Playing Field,"Lower Boston Road/St Mark's Road/Bostonthorpe Road, Hanwell",W7,Public Park,515043,179806,Yes,unrestricted,EAL030
Ealing,King George's Playing Field,"Lady Margaret Road, Durdans Park, Southall",UB1,Public Open Land,512810,182100,Yes,unrestricted,EAL031
Ealing,Lammas Park,"Culmington Road/Elers Road/Windemere Road/Northfield Avenue, Ealing",W13,Public Park,517270,179669,Yes,7.30am - dusk,EAL032
Ealing,Manor House Grounds,"The Green, Southall",UB2 4BH,Public Gardens,512543,179418,Yes,7.30am - dusk,EAL033
Ealing,Mill Hill Gardens,"Avenue Road, Acton",W3 8QH,Public Park,519646,179817,Yes,7.30am - dusk,EAL033a
Ealing,Northolt Village Green and Northolt Village Green Rest Garden,"Ealing Road, Northolt",UB5,Public Open Land,513120,184070,Yes,unrestricted,EAL035
Ealing,Norwood Green,Norwood Green Road/Norwood Road/Tentelow Road,UB2 5QT,Public Open Land,513280,178490,Yes,unrestricted,EAL036
Ealing,Norwood Hall,"Tentelow Lane/Norwood Green Road, Southall",UB2 4LA,Private Garden,513408,178767,No,private,EAL037
Ealing,Pitshanger Park,"Meadvale Road/Scotch Common/Argyle Road, Ealing",W5/W13,Public Park,516709,182308,Yes,unrestricted,EAL038
Ealing,Ravenor Park,"Oldfield Lane South/ Ruislip Road, Greenford",UB6 9LG,Public Park,513970,182570,Yes,unrestricted,EAL039
Ealing,South Ealing Cemetery,South Ealing Road/Popes Lane,W5 4RH,Cemetery,517970,178920,Yes,"Open: 8am weekdays, 9am weekends. Closing: 4.30pm Nov-Feb; 5.30pm Mar, Oct; 7pm Sept, Apr; 8pm May-Aug.",EAL049
Ealing,Southall Park,"Uxbridge Road/Park Avenue/Green Drive/Boyd Avenue, Southall",UB1,Public Park,513243,180221,Yes,7.30am - dusk,EAL050
Ealing,Southall Recreation Ground,"Recreation Road/Florence Road/The Common, Southall",UB2 5JA,Public Park,511890,178780,Yes,7.30am - dusk,EAL051
Ealing,Spikes Bridge Park,"Carlyle Avenue, Southall",UB1 2AP,Public Park,512490,181140,Yes,7.30am - dusk,EAL051a
Ealing,Springfield Gardens,"Horn Lane/Rosemont Road/Creswick Road, Acton",W3,Public Park,520016,180574,Yes,7.30am - dusk,EAL052
Ealing,St John's Church Burial Ground,"King Street/Western Road, Southall Green",UB2,Churchyard,512320,179280,Yes,unrestricted,EAL040
Ealing,St Mary the Virgin Churchyard,"off Perivale Lane/Old Church Lane, Perivale",UB6,Churchyard,516450,182780,Yes,unrestricted,EAL041
Ealing,St Mary the Virgin Churchyard,"Tentelow Lane, Norwood Green",UB2 4LG,Churchyard,513480,178620,Yes,unrestricted,EAL043
Ealing,"St Mary the Virgin Churchyard, Northolt","Ealing Road, Northolt",UB5 6AA,Churchyard,513190,184030,Yes,unrestricted. The church is open Saturday mornings 10am-noon,EAL042
Ealing,St Mary's Burial Ground Rest Garden,"Churchfield Road/Grove Place, Acton",W3,Cemetery,520200,180180,Yes,?locked,EAL044
Ealing,"St Mary's Churchyard, Acton","King Street/The Mount, Acton",W3 9NW,Churchyard,520040,180180,Yes,unrestricted. Church usually open 10.30am - 12.30am Monday-Saturday,EAL045
Ealing,"St Mary's Churchyard, Ealing","St Mary's Road/Ranelagh Road, Ealing",W5 5RH,Churchyard,517710,179740,Yes,unrestricted,EAL046
Ealing,"St Mary's Churchyard, Hanwell","Church Road, Hanwell",W7 3BJ,Churchyard,514760,180740,Yes,unrestricted,EAL047
Ealing,"St Mary's Churchyard, West Twyford","Brentmead Gardens, West Twyford",NW10 7ED,Churchyard,518930,183120,Yes,unrestricted,EAL048
Ealing,The Woodlands Park,"Crown Street, Acton",W3,Public Park,519830,180140,Yes,unrestricted,EAL057
Ealing,Twyford Abbey,Twyford Abbey Road,NW10 7DN,Institutional Grounds,519030,183160,No,private,EAL053
Ealing,Twyford Avenue Sports Ground,"Twyford Avenue/Creffield Road, Acton",W3 9LE,Private Open Land,519520,180570,No,private,EAL053a
Ealing,Twyford Crescent Gardens,"Uxbridge Road/Twyford Avenue/Hale Gardens, Acton",W3,Public Gardens,519386,180271,Yes,unrestricted,EAL054
Ealing,Walpole Park *,"Culmington Road/Mattock Lane/Ealing Green/Lammas Park Gardens/Disraeli Road/Windermere Road, , Ealing",W5,Public Park,517385,180285,Yes,7.30am - dusk. Museum open,EAL055
Ealing,Warwick Dene,"Warwick Dene/Elm Avenue, Ealing,",W5,Public Gardens,518407,180157,Yes,unrestricted,EAL056
Enfield,Albany Park,"Connop Road, off Hertford Road, Enfield Highway",EN3 5PA,Public Park,536090,198300,Yes,8am Mon-Sat / 8.30am Sundays to dusk (refer to Council website for seasonal details),ENF001
Enfield,"All Saints' Churchyard, Edmonton","Church Street, Edmonton",N9 9PE,Churchyard,533920,193640,Yes,unrestricted,ENF002
Enfield,Angel Gardens,"Rays Road, Edmonton",N18 2NX,Public Gardens,535130,192533,Yes,,ENF002a
Enfield,Arnos Park,"Morton Crescent/Arnos Road/Waterfall Road, New Southgate",N11 1AP,Public Park,529313,192909,Yes,8am Mon-Sat / 8.30am Sundays to dusk (refer to Council website for seasonal details),ENF003
Enfield,Botany Bay Cricket Club,"East Lodge Lane, The Ridgeway, Botany Bay",EN2 8AS,Private Open Land,529690,199300,Yes,,ENF003a
Enfield,Boxer's Lake Open Space,"Lonsdale Drive, Enfield",EN2 7JZ,Public Open Land;,530543,196223,Yes,unrestricted,ENF004
Enfield,Broomfield Park *,"Aldermans Hill/Broomfield Lane/Powys Lane, Palmers Green",N13 4HE,Public Park;,530316,192751,Yes,8am Mon-Sat / 8.30am Sundays to dusk (refer to Council website for seasonal details),ENF005
Enfield,Bury Lodge Gardens,"Bury Street West, Lower Edmonton",N9 9JN,Public Gardens,533260,194490,Yes,8am - dusk Mon-Sat / 8.30am - dusk Sundays (refer to Council website for seasonal details),ENF006
Enfield,Bush Hill Gardens,"Village Road/Bush Hill Road, Winchmore Hill",EN1 2HA,Public Gardens,532860,194920,Yes,8am Mon-Sat / 8.30am Sundays to dusk (refer to Council website for seasonal details),ENF007
Enfield,Bush Hill Park,"Southbury Road/Lincoln Road, Enfield",EN1 1PS,Public Park,533760,196180,Yes,8am Mon-Sat / 8.30am Sundays to dusk (refer to Council website for seasonal details),ENF008
Enfield,Bush Hill Park Golf Course,"Bush Hill/Old Park Avenue, Winchmore Hill",N21,Private Open Land,532310,195760,By appointment only,"private, although public footpath, Carr's Lane, runs through site affording views",ENF009
Enfield,Capel Manor Gardens,"Bullsmoor Lane, Enfield",EN1 4RQ,Botanical Institution,534455,199788,Yes,"Summer opening, daily March-October 10am-5.30pm. Winter opening, weekdays only November-February 10am-5.30pm. Closed Christmas Day to New Year",ENF010
Enfield,Chase Green and Cenotaph Gardens,"Chase Side/Chase Green Avenue/Church Street, Enfield Town",EN2 6SD,Public Park,532283,196888,Yes,unrestricted,ENF011
Enfield,Chase Green Gardens and Gentlemans Row,"Windmill Hill/Chase Side/River View, Gentlemans Row, Enfield",EN2,Public Gardens,532390,196720,Yes,unrestricted,ENF011a
Enfield,Christ Church Cockfosters Churchyard,"Chalk Lane, Cockfosters",EN4 9JQ,Churchyard,527900,196400,Yes,unrestricted,ENF013
Enfield,Christ Church Southgate Churchyard,"The Green, Waterfall Road, Southgate",N14 7EG,Churchyard,529670,193410,Yes,unrestricted (church open 9am-1pm weekdays),ENF012
Enfield,Durants Park,"Hertford Road/The Ridge, Enfield Highway",EN3 7ED,Public Park,535372,196835,Yes,8am Mon-Sat / 8.30am Sundays to dusk (refer to Council website for seasonal details),ENF014
Enfield,Edmonton Cemetery,"Church Street, Edmonton",N9,Cemetery,532790,193952,Yes,9am(M-Sat)/10am (Sun/BH) -4pm (Dec/Jan);-4.30pm (Nov/Feb); 5.30pm (Mar/Apr/Sep/Oct);-7pm/7.30 Sun/BHs (May-Aug).,ENF015
Enfield,Edmonton Federation Cemetery,"Montagu Road, Edmonton",N18 2NF,Cemetery,534815,193170,Yes,"Private grounds, but open -  notice only giving closing time of 5pm (April)",ENF016
Enfield,Enfield Crematorium,"Great Cambridge Road, Enfield Wash",EN1 4DS,Cemetery,534852,198556,Yes,8.30am to 6pm,ENF017
Enfield,Enfield Golf Course,"Old Park Road South, Enfield",EN2 7DA,Private Open Land,531605,196211,Partially,"private, but visitors welcome, call the Pro Shop for details on 020 8363 3970",ENF018
Enfield,Enfield Playing Fields,Great Cambridge Road/Donkey Lane,EN1 3SD,Public Park,534010,196990,Yes,,ENF018a
Enfield,Forty Hall Park *,"Forty Hill, Enfield",EN2 9HA,Public Park,533733,198814,Yes,"unrestricted (parkland); Forty Hall: closed until spring 2012. Courtyard Café daily from 10.30am-4pm (closed Christmas, Boxing Day)",ENF019
Enfield,Friends Meeting House,"59 Church Hill, Winchmore Hill",N21 1LE,Cemetery,531280,194670,Yes,notice welcoming people to enter garden if gate is open,ENF020
Enfield,Grovelands Park *,"Bourne Hill/Church Hill, Winchmore Hill; The Bourne, Southgate",N14 6RA,Public Park,530568,194346,Yes,8am Mon-Sat / 8.30am Sundays to dusk (refer to Council website for seasonal details),ENF021
Enfield,Hadley Wood Golf Club,"Beech Hill, Hadley Wood",EN4 0JJ,Private Open Land,527147,197442,No,"private, members only",ENF022
Enfield,Hertford Road Cemetery,"Hertford Road, Enfield Highway",EN3,Cemetery,535390,196953,Yes,9am (Mon-Sat)/10am (Sun/BH) - 4pm (Dec/Jan); - 4.30pm (Nov/Feb); 5.30pm (Mar/Apr/Sep/Oct); -7pm/7.30 Sun/BHs (May-Aug).,ENF023
Enfield,Hillyfields Park,"Phipps Hatch Lane/Clay Hill/Browning Road/Cooks Hole Road, Enfield",EN2 0UD,Public Park,532154,198407,Yes,unrestricted,ENF024
Enfield,Hyde Estate,Park Lane/Hazelbury Green,N9,Housing/Estate Landscaping,533460,193130,Partially,"provided for residents' use, but unrestricted access with unlocked gate",ENF025
Enfield,Jubilee Park,"Galliard Road, Edmonton",N9 7RH,Public Park,534391,194783,Yes,8am Mon-Sat / 8.30am Sundays to dusk (refer to Council website for seasonal details),ENF026
Enfield,King George's Field,"Delhi Road, Enfield",EN1 2NB,Public Park,533760,194840,Yes,,ENF026a
Enfield,Lakeside,"Lakeside/ South Lodge Crescent, Enfield",EN2 7NW,Garden Feature Remnants;,529850,196350,Yes,unrestricted,ENF026b
Enfield,Lavender Hill Cemetery,"Cedar Road, Enfield",EN2,Cemetery,531827,198195,Yes,9am (M-Sat)/10am (Sun/BH) -4pm (Dec/Jan);-4.30pm (Nov/Feb); 5.30pm (Mar/Apr/Sep/Oct);-7pm/7.30 Sun/BHs (May-Aug),ENF027
Enfield,Library Green,"Cecil Road/Church Street, Enfield",EN2 6TH,Public Gardens,532483,196529,Yes,unrestricted,ENF028
Enfield,Millfield House Arts Centre and St David's Park,"Silver Street, Edmonton",N18 1PJ,Public Gardens,532940,192550,Yes,gardens have unrestricted access from Pymmes Brook,ENF029
Enfield,Minchenden Oak Garden,"Waterfall Road, Southgate",N14 7JN,Public Gardens;,529610,193380,Yes,8am Mon-Sat / 8.30am Sundays to dusk (refer to Council website for seasonal details),ENF030
Enfield,Myddelton House Gardens *,"Bulls Cross, Enfield",EN2 9HG,Public Gardens,534202,199194,Yes,"Open daily, Apr-Sept 10-4.30pm, Oct-Mar 10-3pm. Closed Christmas & New Year",ENF031
Enfield,North Enfield Recreation Ground,Clay Hill/Hawthorn Grove,EN2 0DS,Public Park,532970,198210,Yes,8am Mon-Sat / 8.30am Sundays to dusk (refer to Council website for seasonal details),ENF033
Enfield,Oakwood Park,"Saxon Way/Oakwood Park Road/Prince George Avenue/Sheringham Avenue, Southgate",N14 6QB,Public Park,530140,195260,Yes,8am Mon-Sat / 8.30am Sundays to dusk (refer to Council website for seasonal details),ENF034
Enfield,Ponders End Recreation Ground,"High Street/Cromwell Court, Ponders End, Enfield",EN3 4DA,Public Park,535470,198528,Yes,8am Mon-Sat / 8.30am Sundays to dusk (refer to Council website for seasonal details),ENF035
Enfield,Pymmes Park,"Silver Street/Victoria Road/Park Lane/Sweet Briar Walk, Edmonton",N18 2UG,Public Park,533790,192714,Yes,North part open access. Remainder 8am Mon-Sat / 8.30am Sundays to dusk (refer to Council website for seasonal details),ENF036
Enfield,Salisbury House Arts Centre,"Bury Street West, Edmonton",N9 9LA,Institutional Grounds,533350,194500,By appointment only,garden open to users of Arts Centre,ENF041
Enfield,Southgate Cemetery,"Waterfall Road, Southgate",N14 7JS,Cemetery,529377,193512,Yes,9am (M-Sat)/10am (Sun/BH) -4pm (Dec/Jan);-4.30pm (Nov/Feb); 5.30pm (Mar/Apr/Sep/Oct);-7pm/7.30 Sun/BHs (May-Aug),ENF042
Enfield,Southgate Green,"The Green, Southgate",N14 7AA,Public Open Land,529870,193430,Yes,unrestricted,ENF043
Enfield,St Andrew's Churchyard,"Church Lane/Church Walk, Enfield",EN1 3EJ,Churchyard,532760,196690,Yes,unrestricted,ENF037
Enfield,St James' Churchyard,"Hertford Road, Enfield Highway",EN3,Churchyard,535210,197020,Yes,unrestricted,ENF038
Enfield,St John the Baptist Churchyard,Theobalds Park Road/Clay Hill,EN2 9JG,Churchyard,531820,198880,Yes,unrestricted. Church open Monday/Wednesday/Friday 2-4pm excluding Bank Holidays and school holidays,ENF038a
Enfield,St Mary Magdalene Church,"Windmill Hill/The Ridgeway, Enfield Chase",EN2,Churchyard,531730,196750,Yes,unrestricted,ENF039
Enfield,"St Paul's Church, Winchmore Hill","Church Hill, Winchmore Hill",N21 1JA,Churchyard,531160,194650,Yes,unrestricted,ENF040
Enfield,Tatem Park and Hollywood Gardens,Great Cambridge Road & Hedge Lane,N13,Public Park,532517,192852,Yes,8am Mon-Sat / 8.30am Sundays to dusk (refer to Council website for seasonal details),ENF044
Enfield,Tottenham Park Cemetery,"Dodsley Place, off Montagu Road, Edmonton",N18 2NF,Cemetery,535012,193197,Yes,but no information as to times of opening,ENF045
Enfield,Town Park,"Cecil Road/Essex Road, Enfield",EN2,Public Park,532510,196222,Yes,8am Mon-Sat / 8.30am Sundays to dusk (refer to Council website for seasonal details),ENF046
Enfield,Trent Park and Trent Country Park *,"Cockfosters Road/Bramley Road/Hadley Road, Barnet/Enfield Chase",EN4 0PS,Public Open Land;,528638,197628,Yes,8.30am - half hour before sunset; visitor centre: Suns 11-3/4.30pm (summer also Wed/Sat 11-3.30pm),ENF048
Enfield,Trent Park Cemetery,Cockfosters Road,EN4 0DZ,Cemetery,528186,196515,Yes,"November to February 9am - 4pm; March, April, September, October 9am - 5.30pm; May to August 9am - 7pm; Christmas Day: 10am - 2pm",ENF047
Enfield,West Lodge Park,"West Lodge Park Hotel, Stagg Hill/Cockfosters Road, Hadley Wood, Hertfordshire",EN4 0PY,Private Open Land,527570,198261,Yes,Non-residents: Arboretum open daily 2-5pm (admission charge); gardens Mon-Fri afternoons April-Oct + 2 Open Days in aid of National Gardens Scheme,ENF049
Enfield,Western Synagogue Cemetery,"Montagu Road, Edmonton",N18 2NF,Cemetery,534950,193000,Yes,no information (open when visited),ENF050
Enfield,Whitewebbs Park and Golf Course,"Whitewebbs Road, Enfield",EN2 9HW,Public Open Land,532757,199231,Yes,unrestricted,ENF051
Enfield,Winchmore Hill Green,"The Green, Winchmore Hill",N21 1AY,Public Open Land,531410,194510,Yes,unrestricted,ENF052
Greenwich,Avery Hill Park,"Avery Hill Road/Bexley Road, Eltham",SE9,Public Park,544290,174160,Yes,unrestricted.,GRN002
Greenwich,Avery Hill Winter Gardens,"Bexley Road, Eltham",SE9 2PQ,Public Gardens,544330,174390,Yes,"Winter Garden open Mon-Sat 10am - 12 and 1 - 4pm (closed Christmas Day, Boxing Day, New Year's Day)",GRN001
Greenwich,Ballast Quay Garden,"Ballast Quay, Greenwich",SE10 9PD,Private Garden,539600,178310,Occasionally,"Has opened for OGSW. Otherwise private, for keyholders only",GRN002a
Greenwich,Birchmere Park,"Chervil Mews, Thamesmead",SE28 8GB,Public Park,546650,179990,Yes,unrestricted,GRN003
Greenwich,Blackheath,Shooters Hill Road/Charlton Way/Maze Hill/Prince Charles Road/Point Hill/Maidenstone Hill,SE3,Public Open Land,539320,176630,Yes,unrestricted,GRN004
Greenwich,Bostall Gardens,"Viola Avenue/Rochdale Road/McLeod Road, Abbey Wood",SE2,Public Gardens,546620,178500,Yes,9am - dusk,GRN005
Greenwich,Bostall Heath and Bostall Woods,"Bostall Hill/Longleigh Lane, Abbey Wood",SE2,Public Open Land,546810,178020,Yes,unrestricted,GRN006
Greenwich,Brooklands Park Estate,"Casterbridge Road/Brooklands Park, Blackheath Park",SE3,Housing/Estate Landscaping;,540372,175693,Yes,unrestricted,GRN007
Greenwich,Burney Street Open Space,"Burney Street, Greenwich",SE10,Public Gardens,538274,177378,Yes,unrestricted,GRN008
Greenwich,Castlewood,Shooters Hill,SE18,Public Gardens,543170,176090,Yes,unrestricted,GRN009
Greenwich,Charlton Cemetery,"Cemetery Lane, Charlton",SE7 8DZ,Cemetery,542436,177772,Yes,Daily April-Sept 9am-7pm; Oct-Mar 9am-4pm,GRN010
Greenwich,Charlton House Grounds,"Charlton Road, Charlton",SE7 8RE,Public Gardens,541660,177690,Yes,"Peace Garden daily 10am-dusk (winter)/ - 5pm (summer). House not open apart from library, events (available for hire/viewing by appointment)",GRN011
Greenwich,Charlton Park,"Charlton Park Road, Charlton",SE7,Public Park,542000,177690,Yes,unrestricted,GRN012
Greenwich,Conduit Head,"off Southend Crescent, Eltham",SE9,Public Open Land,543591,174197,Yes,unrestricted,GRN013
Greenwich,Corner Green,"Pond Road, Blackheath Park",SE3 9JJ,Housing/Estate Landscaping,540080,176060,No,private,GRN014
Greenwich,Cutty Sark Gardens,"King William Walk, Greenwich",SE10 9BJ,Public Gardens,538277,177866,Yes,unrestricted,GRN015
Greenwich,Eaglesfield Park/Eaglesfield,"Eaglesfield Road/Cleanthus Road/Foxcroft Road, Shooter's Hill",SE18,Public Park,543994,176574,Yes,unrestricted,GRN016
Greenwich,East Greenwich Pleasaunce,"Chevening Road, East Greenwich",SE10,Public Gardens,539921,178114,Yes,9am - dusk,GRN017
Greenwich,Eltham Cemetery and Eltham Crematorium,"Rochester Way/Crown Woods Way, Eltham",SE9 2RF,Cemetery,544670,175100,Yes,Cemetery: April-Sept 9am-7pm; Oct-Mar 9am-4pm. Crematorium Garden/Memorial Courts close 15 min before Cemetery & at 1.45pm Xmas/Boxing/New Year's Days,GRN018
Greenwich,Eltham Common,Well Hall Road/Shooters Hill,SE9,Public Open Land,542980,176470,Yes,unrestricted,GRN019
Greenwich,Eltham Green,Greenway/Eltham Hill/Eltham Road,SE9 5JZ,Public Open Land,541650,174650,Yes,unrestricted,GRN020
Greenwich,Eltham Palace Gardens and Grounds *,"Court Yard, Eltham",SE9,Private Garden,542450,173940,Yes,Wed-Fri & Sun: 10-6 April-September; 10-5 October; 10-4 November - March,GRN021
Greenwich,"Eltham Park North, including Shepherdleas Wood","Rochester Way/Eltham Park Gardens, Eltham",SE9,Public Park,544016,175530,Yes,unrestricted,GRN022
Greenwich,Eltham Park South,"Glenesk Road/ footpath from Riefield Road, Eltham",SE9 1AN,Public Park,543872,175058,Yes,unrestricted,GRN023
Greenwich,Fairoak Drive,"Fairoak Drive, Falconwood",SE9,Public Open Land,544640,174790,Yes,unrestricted,GRN024
Greenwich,Gloucester Circus,"Gloucester Circus, off Royal Hill, Greenwich",SE10,Garden Square,538381,177310,No,"private, visible from road",GRN025
Greenwich,Greenwich Cemetery,"Well Hall Road, Eltham",SE9 6UA,Cemetery,542430,176216,Yes,Daily: April-Sept 9am-7pm; Oct-Mar 9am-4pm,GRN026
Greenwich,Greenwich Park *,"King William Walk/Crooms Hill/Maze Hill/Park Vista/Charlton Way, Greenwich",SE10,Public Park,539042,177232,Yes,"6am - dusk. Vehicular access 7am-dusk but no through traffic between 10am-4pm, and at weekends/bank holidays.",GRN027
Greenwich,Hallgate,"Foxes Dale, Blackheath Park",SE3,Housing/Estate Landscaping,540080,175860,Yes,private,GRN028
Greenwich,Hornfair Park,"Shooters Hill Road, Charlton",SE18 4LX,Public Park,542070,177250,Yes,9am - dusk,GRN029
Greenwich,"Kidbrooke Green Park, including Kidbrooke Green Nature Reserve","Rochester Way/Nelson Mandela Road/Relief Road, Kidbrooke",SE3,Public Open Land,541200,175890,Yes,unrestricted (Nature Reserve locked),GRN030
Greenwich,King George's Field,Well Hall Road/Broad Walk,SE9 6TZ,Public Open Land,542670,176420,Yes,unrestricted,GRN031
Greenwich,"Maryon Park, including Gilbert's Pit","Maryon Road, Charlton",SE7,Public Park,541921,178715,Yes,9am - dusk,GRN033
Greenwich,Maryon Wilson Park,"Thorntree Road, Charlton",SE7,Public Park,541919,178211,Yes,unrestricted,GRN034
Greenwich,Morden College,"off St Germans Place/Morden Road, Blackheath",SE3,Private Garden,540297,176408,No,private,GRN035
Greenwich,National Maritime Museum Complex,Romney Road/King William Walk/Park Row,SE10,Public Gardens,538670,177773,Yes,NMM: daily 10am - 5pm (6pm summer) closed 24-26 Dec.,GRN036
Greenwich,Old Blue Cross Pet Cemetery,"Shooter's Hill Road, Charlton",SE18 4LX,Cemetery;,541731,177053,Yes,unrestricted,GRN036a
Greenwich,Old Royal Naval College,"Romney Road/King William Walk/Park Row, Greenwich",SE10,Public Gardens;,538558,177872,Yes,Grounds open 8am-6pm daily. Painted Hall & Chapel open 10am-5pm; Greenwich Gateway Visitors Centre open daily 10am-5pm; closed 24-26 Dec,GRN037
Greenwich,Plumstead Cemetery,"Cemetery Road/off Wickham Lane, Abbey Wood",SE2 0NS,Cemetery,546774,177295,Yes,Daily: April-Sept 9am-7pm; October-March 9am-4pm,GRN040
Greenwich,"Plumstead Common, including Winns Common and The Slade","Plumstead Common Road/King's Highway/The Slade, Plumstead",SE18,Public Park;,545130,177920,Yes,unrestricted,GRN041
Greenwich,Plumstead Gardens,"Church Manorway/Brookdene Road, Plumstead",SE18 1EL,Public Park,545601,179055,Yes,9am - dusk,GRN042
Greenwich,"Progress Estate, including Lovelace Green and Sandby Green","Lovelace Green, Eltham",SE9,Housing/Estate Landscaping,542540,175660,Yes,unrestricted,GRN043a
Greenwich,Queen Elizabeth's College Almshouses,"Greenwich High Road/South Street, Greenwich",SE10,Housing/Estate Landscaping,538080,177250,No,"private, visible from High Street",GRN044
Greenwich,Queen's Gardens,William Barefoot Drive/Leas Dale,SE9,Public Gardens,543166,172150,Yes,9am - dusk,GRN045
Greenwich,Queenscroft Recreation Ground,"Queenscroft Road/Kingsground, Eltham",SE9,Public Park,542120,174335,Yes,9am - dusk,GRN046
Greenwich,Repository Woods *,"Heath Hill, Woolwich",SE18,Private Open Land,542558,178148,No,private,GRN046a
Greenwich,Rockliffe Gardens,"Southland Road, Plumstead",SE18,Public Park,545890,177450,Yes,9am - dusk,GRN047
Greenwich,Royal Arsenal Gardens,"Warren Lane, Woolwich",SE18 6BU,Public Gardens,543560,179290,Yes,unrestricted,GRN048
Greenwich,Royal Blackheath Golf Course,"Court Road, Eltham",SE9 5AF,Private Open Land,543123,173603,No,private members' club (visits may be possible by prior arrangement with the Club Secretary: 020 8850 1795)),GRN049
Greenwich,"Royal Navy Cemetery, The Devonport Mausoleum and Devonport House Grounds","Maritime Greenwich Campus, off Romney Road",SE10 9NF,Cemetery;,538510,177640,Yes,"Grounds of Devonport House open 8am-5pm; Cemetery and Mausoleum open occasionally, including London Open House;",GRN048a
Greenwich,Severndroog Castle,off Shooter's Hill Road in Castle Wood; Crown Woods Way,SE18 3RT,Public Park,543220,176370,Yes,unrestricted to grounds; check www.severndroogcastle.org.uk for visits to Castle,GRN059
Greenwich,Shooters Hill Woodlands (Oxleas Woodlands),Shooters Hill/Well Hall Road/Welling Way,SE18/SE9,Public Open Land,543980,176060,Yes,unrestricted,GRN060
Greenwich,"Shrewsbury Park, including Shrewsbury Tumulus","Plum Lane, Plumstead",SE18,Public Park,544299,177305,Yes,unrestricted,GRN061
Greenwich,Southwood Park,"Southwood Road, New Eltham",SE9,Public Park,543810,172980,Yes,9am - dusk,GRN062
Greenwich,St Alfege Churchyard,"Greenwich Church Street/Greenwich High Road, Greenwich",SE10,Churchyard,538282,177593,Yes,unrestricted; Church open Sat 11.30am-4pm; Sun 12-4pm; at other times by appointment (Church Office 020 8853 0687),GRN050
Greenwich,St Alfege Park,"Roan Street/Bardsley Lane, Greenwich",SE10,Public Gardens,531860,177620,Yes,9am - dusk,GRN051
Greenwich,St John the Baptist Churchyard,"Eltham High Street/Well Hall Road, Eltham",SE9 1DH,Churchyard,542625,174548,Yes,unrestricted,GRN052
